,RS,Group
TCGA-CG-4440-01A,-0.609767876626737,Low
TCGA-CG-4441-01A,0.390767706377567,High
TCGA-CG-4443-01A,0.220371713482308,Low
TCGA-CG-4444-01A,0.310487617365248,Low
TCGA-CG-4460-01A,-1.20467055884902,Low
TCGA-CG-4465-01A,-0.476037012415498,Low
TCGA-CG-4466-01A,-1.97614842295847,Low
TCGA-CG-4469-01A,1.815437,High
TCGA-CG-4475-01A,1.20100387202463,High
TCGA-CG-4477-01A,-0.383600360180104,Low
TCGA-CG-5717-01A,-0.350317857032123,Low
TCGA-CG-5718-01A,-0.117492554839775,Low
TCGA-CG-5719-01A,1.99951122948524,High
TCGA-CG-5721-01A,-0.143041602030588,Low
TCGA-CG-5723-01A,-0.094489505163252,Low
TCGA-CG-5724-01A,0.319685036100327,High
TCGA-CG-5725-01A,-0.698043953540972,Low
TCGA-CG-5726-01A,-2.04844904091981,Low
TCGA-CG-5732-01A,-1.71245986914669,Low
TCGA-CG-5734-01A,0.7631701,High
TCGA-D7-5577-01A,-0.995628492910517,Low
TCGA-D7-5578-01A,0.797220721973881,High
TCGA-D7-6519-01A,1.08058907106,High
TCGA-D7-6520-01A,1.4212628182362,High
TCGA-D7-6521-01A,1.61403933235447,High
TCGA-D7-6522-01A,1.67497537001415,High
TCGA-D7-6524-01A,0.749228817287307,High
TCGA-D7-6525-01A,0.414993120630664,High
TCGA-D7-6526-01A,0.0142979094341918,Low
TCGA-D7-6527-01A,-0.127396412368412,Low
TCGA-D7-6528-01A,-1.15196060627773,Low
TCGA-D7-6815-01A,-0.209147538756475,Low
TCGA-D7-6818-01A,0.687719721064198,High
TCGA-D7-6822-01A,-0.722410237239745,Low
TCGA-D7-8570-01A,-0.371382602111443,Low
TCGA-D7-8572-01A,0.229316773016512,Low
TCGA-D7-8573-01A,-2.14889511255955,Low
TCGA-D7-8574-01A,1.24788930455105,High
TCGA-D7-8575-01A,-1.51898475246382,Low
TCGA-D7-8576-01A,-0.696592903477265,Low
TCGA-D7-8578-01A,2.46225313033361,High
TCGA-D7-8579-01A,0.261523367175609,Low
TCGA-D7-A4YU-01A,-0.221264362012861,Low
TCGA-D7-A4YX-01A,-1.34379463776013,Low
TCGA-D7-A4Z0-01A,-1.19171596555187,Low
TCGA-D7-A6EV-01A,-1.17487412144903,Low
TCGA-D7-A6EX-01A,1.21177516270938,High
TCGA-D7-A6EY-01A,0.604103309424393,High
TCGA-D7-A6EZ-01A,-0.700514428724748,Low
TCGA-D7-A6F0-01A,-1.05889961065993,Low
TCGA-D7-A6F2-01A,0.761194803709157,High
TCGA-D7-A747-01A,1.81091707220786,High
TCGA-D7-A748-01A,2.82773704388292,High
TCGA-D7-A74A-01A,-1.2309895020397,Low
TCGA-EQ-8122-01A,0.557384963065606,High
TCGA-F1-6874-01A,-1.91593272236089,Low
TCGA-F1-6875-01A,-1.16709453340722,Low
TCGA-F1-A448-01A,-0.181692660370143,Low
TCGA-F1-A72C-01A,0.286073097528855,Low
TCGA-FP-7735-01A,1.02820852,High
TCGA-FP-7829-01A,-0.468471857699547,Low
TCGA-FP-7916-01A,0.947147418380429,High
TCGA-FP-7998-01A,0.663675809814133,High
TCGA-FP-8099-01A,0.416453462793983,High
TCGA-FP-8209-01A,-2.511296,Low
TCGA-FP-8210-01A,2.13293193713405,High
TCGA-FP-8211-01A,-0.122661129311689,Low
TCGA-FP-A4BF-01A,3.20098141228732,High
TCGA-FP-A9TM-01A,-1.89054911921091,Low
TCGA-HF-7132-01A,0.229024869633834,Low
TCGA-HF-7133-01A,-0.611332098504964,Low
TCGA-HF-7134-01A,-1.28704498902046,Low
TCGA-HF-A5NB-01A,-1.76043924911865,Low
TCGA-HJ-7597-01A,-1.6294760443293,Low
TCGA-HU-8238-01A,-1.43925449652565,Low
TCGA-HU-8244-01A,-2.06633455595929,Low
TCGA-HU-8249-01A,-0.931650917076234,Low
TCGA-HU-8602-01A,-1.17569669390147,Low
TCGA-HU-8604-01A,-0.288424303281597,Low
TCGA-HU-8608-01A,-3.64574555808939,Low
TCGA-HU-A4G2-01A,-0.97843567346386,Low
TCGA-HU-A4G3-01A,-1.46941419192456,Low
TCGA-HU-A4G8-01A,-1.3632683888325,Low
TCGA-HU-A4G9-01A,-2.98471164346827,Low
TCGA-HU-A4GC-01A,1.20952567250611,High
TCGA-HU-A4GD-01A,-1.93826717551453,Low
TCGA-HU-A4GF-01A,-1.54019595303058,Low
TCGA-HU-A4GH-01A,-2.27487330114358,Low
TCGA-HU-A4GJ-01A,-0.629865259044918,Low
TCGA-HU-A4GP-01A,-2.04281430546907,Low
