"The Wheeler criterion","The MethylMix algorithm","Intersection"
NA,"GPR149",NA
NA,"GPR150",NA
NA,"GPR19",NA
NA,"GPRASP2",NA
NA,"GPT",NA
NA,"GPX2",NA
NA,"GPX3",NA
NA,"GPX7",NA
NA,"GREB1L",NA
NA,"GRK7",NA
NA,"GSTA4",NA
NA,"GSTM1",NA
NA,"GSTM2",NA
NA,"GTSF1",NA
NA,"GUCA2A",NA
NA,"GUCA2B",NA
NA,"HBQ1",NA
NA,"HCLS1",NA
NA,"HMSD",NA
NA,"HMX2",NA
NA,"HNF1A",NA
NA,"HOXA4",NA
NA,"HOXA7",NA
NA,"HOXA9",NA
NA,"HOXB2",NA
NA,"HOXB4",NA
NA,"HOXB7",NA
NA,"HOXD11",NA
NA,"HOXD8",NA
NA,"HPDL",NA
NA,"HSD17B3",NA
NA,"HSPA1A",NA
NA,"HSPB2",NA
NA,"HSPB3",NA
NA,"HYAL1",NA
NA,"ID4",NA
NA,"IFITM1",NA
NA,"IFITM2",NA
NA,"IL12RB1",NA
NA,"IL18",NA
NA,"IL32",NA
NA,"INA",NA
NA,"INSL6",NA
NA,"IRX1",NA
NA,"IRX2",NA
NA,"ISG15",NA
NA,"ITPRIPL1",NA
NA,"IVD",NA
NA,"KCNC3",NA
NA,"KCNS1",NA
NA,"KCTD14",NA
NA,"KLF8",NA
NA,"KLHDC7B",NA
NA,"KLHDC9",NA
NA,"KLHL34",NA
NA,"KRT19",NA
NA,"KRT20",NA
NA,"KRT23",NA
NA,"KRT7",NA
NA,"KRTCAP3",NA
NA,"L1TD1",NA
NA,"LAGE3",NA
NA,"LAYN",NA
NA,"LDHB",NA
NA,"LDLRAD1",NA
NA,"LDOC1",NA
NA,"LEP",NA
NA,"LGALS4",NA
NA,"LGI4",NA
NA,"LIM2",NA
NA,"LIPG",NA
NA,"LMAN1L",NA
NA,"LOC375196",NA
NA,"LPAR6",NA
NA,"LRAT",NA
NA,"LRFN5",NA
NA,"LRRC34",NA
NA,"LRRC61",NA
NA,"LUM",NA
NA,"LXN",NA
NA,"LY6D",NA
NA,"LY6K",NA
NA,"LY75",NA
NA,"LY96",NA
NA,"MAB21L1",NA
NA,"MAEL",NA
NA,"MAGEA1",NA
NA,"MAGEA10",NA
NA,"MAGEA12",NA
NA,"MAGEA2",NA
NA,"MAGEB1",NA
NA,"MAGEB16",NA
NA,"MAGEB2",NA
NA,"MAGEB6",NA
NA,"MAGEC2",NA
NA,"MAGED1",NA
NA,"MAGEH1",NA
NA,"MAP1LC3A",NA
NA,"MAP9",NA
NA,"MBIP",NA
NA,"MCHR1",NA
NA,"MEIS1",NA
NA,"MIA",NA
NA,"MIOX",NA
NA,"MKRN3",NA
NA,"MLF1",NA
NA,"MME",NA
NA,"MMP20",NA
NA,"MORN4",NA
NA,"MPV17L",NA
NA,"MRPS21",NA
NA,"MSC",NA
NA,"MSGN1",NA
NA,"MSX2",NA
NA,"MT1E",NA
NA,"MT1G",NA
NA,"MTMR8",NA
NA,"MYADM",NA
NA,"MYEF2",NA
NA,"MYEOV",NA
NA,"MYOM3",NA
NA,"NAA11",NA
NA,"NAP1L2",NA
NA,"NEFH",NA
NA,"NEFL",NA
NA,"NEFM",NA
NA,"NEK9",NA
NA,"NET1",NA
NA,"NHLRC1",NA
NA,"NKAPL",NA
NA,"NKX2-3",NA
NA,"NKX2-4",NA
NA,"NME3",NA
NA,"NOBOX",NA
NA,"NOVA1",NA
NA,"NPC1L1",NA
NA,"NPFFR2",NA
NA,"NR0B1",NA
NA,"NRK",NA
NA,"NT5E",NA
NA,"NUDT10",NA
NA,"NUDT11",NA
NA,"NUDT12",NA
NA,"NUPR1",NA
NA,"OSCP1",NA
NA,"P2RX3",NA
NA,"PABPC5",NA
NA,"PAGE2",NA
NA,"PAX9",NA
NA,"PCDHB11",NA
NA,"PCDHB15",NA
NA,"PCDHGB1",NA
NA,"PCP4L1",NA
NA,"PDZK1",NA
NA,"PEX6",NA
NA,"PHYHD1",NA
NA,"PITX2",NA
NA,"PIWIL2",NA
NA,"PLD3",NA
NA,"PON3",NA
NA,"POU3F3",NA
NA,"POU4F1",NA
NA,"PPP1R14D",NA
NA,"PPP1R1B",NA
NA,"PPP1R3C",NA
NA,"PRAME",NA
NA,"PRDX2",NA
NA,"PRM3",NA
NA,"PRSS21",NA
NA,"PRSS3",NA
NA,"PSCA",NA
NA,"PTPN7",NA
NA,"PXMP4",NA
NA,"PYGO1",NA
NA,"QRFPR",NA
NA,"RAB26",NA
NA,"RAB38",NA
NA,"RAB40AL",NA
NA,"RASEF",NA
NA,"RBP2",NA
NA,"RERG",NA
NA,"RFXAP",NA
NA,"RHCG",NA
NA,"RHOB",NA
NA,"RIBC2",NA
NA,"RIC3",NA
NA,"RIMKLA",NA
NA,"RIPPLY2",NA
NA,"RPL39L",NA
NA,"RPRM",NA
NA,"RPS6KA6",NA
NA,"RSPH6A",NA
NA,"RTP4",NA
NA,"RXFP4",NA
NA,"S100A6",NA
NA,"S100P",NA
NA,"S1PR4",NA
NA,"SAAL1",NA
NA,"SALL1",NA
NA,"SALL3",NA
NA,"SAP25",NA
NA,"SCNN1A",NA
NA,"SDR42E1",NA
NA,"SELENBP1",NA
NA,"SERPINF1",NA
NA,"SERPINF2",NA
NA,"SETD6",NA
NA,"SFTA2",NA
NA,"SLAMF9",NA
NA,"SLC13A4",NA
NA,"SLC13A5",NA
NA,"SLC15A2",NA
NA,"SLC15A3",NA
NA,"SLC16A11",NA
NA,"SLC22A11",NA
NA,"SLC25A20",NA
NA,"SLC2A10",NA
NA,"SLC36A4",NA
NA,"SLC39A4",NA
NA,"SLC44A4",NA
NA,"SLC46A3",NA
NA,"SLC47A2",NA
NA,"SLC6A11",NA
NA,"SLC7A4",NA
NA,"SLC9A3R2",NA
NA,"SLCO4C1",NA
NA,"SLFN12",NA
NA,"SMARCA1",NA
NA,"SMO",NA
NA,"SNCA",NA
NA,"SOSTDC1",NA
NA,"SOX1",NA
NA,"SOX11",NA
NA,"SOX14",NA
NA,"SOX15",NA
NA,"SP140",NA
NA,"SPARC",NA
NA,"SPDYC",NA
NA,"SPEF2",NA
NA,"SPIN2A",NA
NA,"SPIN3",NA
NA,"SPINK6",NA
NA,"SRRT",NA
NA,"STAC",NA
NA,"STAT6",NA
NA,"STK33",NA
NA,"STRA8",NA
NA,"SULT1A2",NA
NA,"SULT4A1",NA
NA,"SUOX",NA
NA,"SVIP",NA
NA,"SYCP2",NA
NA,"SYNGR4",NA
NA,"TAC3",NA
